City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
156,Sur,OM,70.57,broken clouds,22.5667,59.5289,Sur Hotel
158,Odweyne,SO,70.81,broken clouds,9.4092,45.064,فندق المدينه
162,Bairiki,KI,80.96,overcast clouds,1.3292,172.9752,Marry's Motel
166,Eyl,SO,76.05,broken clouds,7.9803,49.8164,فندق ايل دابي
169,Hambantota,LK,75.2,overcast clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
171,Moron,AR,89.06,broken clouds,-34.6534,-58.6198,La Esquina
174,Oranjestad,AW,82.9,clear sky,12.524,-70.027,Hotel California
179,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Decameron Isleño
180,Weston,US,85.01,overcast clouds,26.1004,-80.3998,TownePlace Suites by Marriott Fort Lauderdale Weston
181,Samana,DO,78.67,few clouds,19.2056,-69.3369,Hotel Cotubanamá
182,Kisangani,CD,70.43,overcast clouds,0.5167,25.2,Le Chalet
185,Geraldton,AU,73.81,clear sky,-28.7667,114.6,Ocean Centre Hotel
193,Luanda,AO,76.23,overcast clouds,-8.8368,13.2343,Hotel Forum
195,Fayaoue,NC,81.46,clear sky,-20.65,166.5333,Hôtel Beaupré
201,Maceio,BR,81.84,clear sky,-9.6658,-35.7353,Maceió Hostel e Pousada
206,Mankono,CI,76.5,overcast clouds,8.0586,-6.1897,Hôtel Paillotes
210,Mount Isa,AU,76.77,light rain,-20.7333,139.5,Ibis Styles
211,Bengkulu,ID,75.11,overcast clouds,-3.8004,102.2655,Dena Hotel
217,Moratuwa,LK,73.42,broken clouds,6.773,79.8816,Frankfort House - Reception Hall
219,Kavieng,PG,82.13,light rain,-2.5744,150.7967,Kavieng Hotel
223,Caravelas,BR,73.58,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
233,Limon,CR,79.05,overcast clouds,10.0,-83.0333,Hotel NG
237,Sambava,MG,77.9,overcast clouds,-14.2667,50.1667,Royal Sava Hôtel
245,Mar Del Plata,AR,80.83,clear sky,-38.0023,-57.5575,Nuevo Ostende
251,Kaduqli,SD,76.28,few clouds,11.0167,29.7167,South Kordofan Hotel
253,Pemba,MZ,77.41,moderate rain,-12.974,40.5178,Hotel Rafael
258,Guerrero Negro,MX,71.65,clear sky,27.9769,-114.0611,Plaza sal paraiso
268,Banda Aceh,ID,78.53,overcast clouds,5.5577,95.3222,Hotel 61
270,Pochutla,MX,86.83,clear sky,15.7432,-96.4661,Hotel El Patio
272,Angoche,MZ,75.25,overcast clouds,-16.2325,39.9086,Hotel Quirimbas
275,Ilhabela,BR,71.33,overcast clouds,-23.7781,-45.3581,Vila Kebaya
277,Gilbues,BR,72.07,light rain,-9.8317,-45.3439,Hotel Camapua
288,Salalah,OM,73.49,light rain,17.0151,54.0924,Muscat International Hotel
290,Yambio,SS,76.14,broken clouds,4.5721,28.3955,Kabash Inn
299,Port Hedland,AU,73.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
300,Ambilobe,MG,75.76,overcast clouds,-13.2,49.05,Hôtel National
305,Nabire,ID,76.89,overcast clouds,-3.3667,135.4833,Hotel Anggrek
311,Faanui,PF,80.42,overcast clouds,-16.4833,-151.75,Oa Oa Lodge
312,Ciudad Bolivar,VE,86.22,overcast clouds,8.1222,-63.5497,Paoca
314,Vila Velha,BR,74.95,overcast clouds,-20.3297,-40.2925,Hotel Prainha
318,La Asuncion,VE,78.91,clear sky,11.0333,-63.8628,Hotel La Ciudad
319,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Kununurra Country Club Resort
321,Pisco,PE,75.25,dust,-13.7,-76.2167,La Portada
323,Rawson,AR,86.29,clear sky,-43.3002,-65.1023,Hotel Deportivo
328,Chimbote,PE,73.36,broken clouds,-9.0853,-78.5783,Hostal Diamante Chimbote
338,San-Pedro,CI,79.39,scattered clouds,4.7485,-6.6363,Hôtel La Cité De San Pédro
342,Gambela,ET,82.69,overcast clouds,8.25,34.5833,Grand Hotel
349,Am Timan,TD,73.36,overcast clouds,11.0297,20.2827,Nimla
371,Prado,BR,73.27,heavy intensity rain,-17.3411,-39.2208,Pousada Recanto do Prado
375,Piura,PE,83.89,scattered clouds,-5.2,-80.6333,Hotel Victoria
376,Sao Joao Da Barra,BR,73.49,scattered clouds,-21.6403,-41.0511,Pousada Mediterrâneo
378,Grand Gaube,MU,75.38,overcast clouds,-20.0064,57.6608,Coco Villa
