City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Hambantota,LK,6.1241,81.1185,75.2,87,87,4.56,overcast clouds
170,Mayo,US,38.8876,-76.5119,51.24,94,100,14.97,moderate rain
171,Moron,AR,-34.6534,-58.6198,89.06,57,82,11.41,broken clouds
172,Esso,RU,55.9333,158.7,10.31,97,100,4.03,overcast clouds
173,Phayao,TH,19.25,100.25,62.65,90,8,2.59,clear sky
174,Oranjestad,AW,12.524,-70.027,82.9,77,0,8.01,clear sky
175,Dalbandin,PK,28.8947,64.4101,44.35,37,0,6.46,clear sky
176,Yakeshi,CN,49.2833,120.7333,-28.95,98,83,2.04,broken clouds
177,Talnakh,RU,69.4865,88.3972,-5.04,94,100,18.77,light snow
178,Erzin,TR,36.9559,36.2,53.15,54,5,6.22,clear sky
179,San Andres,CO,12.5847,-81.7006,86.02,66,20,17.27,few clouds
180,Weston,US,26.1004,-80.3998,85.01,67,96,3.0,overcast clouds
181,Samana,DO,19.2056,-69.3369,78.67,77,13,7.83,few clouds
182,Kisangani,CD,0.5167,25.2,70.43,98,100,2.73,overcast clouds
183,Fairbanks,US,64.8378,-147.7164,-14.4,76,5,2.24,clear sky
184,Yinchuan,CN,38.4681,106.2731,25.74,42,5,3.36,clear sky
185,Geraldton,AU,-28.7667,114.6,73.81,31,0,8.05,clear sky
186,Krasnoselkup,RU,65.7,82.4667,-14.96,96,47,12.41,scattered clouds
187,Pacific Grove,US,36.6177,-121.9166,62.42,79,100,7.0,overcast clouds
188,Namibe,AO,-15.1961,12.1522,68.36,76,75,8.61,broken clouds
189,Naze,JP,28.3667,129.4833,49.12,77,100,26.17,light rain
190,Lebu,CL,-37.6167,-73.65,62.01,64,74,12.17,broken clouds
191,Qaanaaq,GL,77.484,-69.3632,-19.12,66,0,7.0,clear sky
192,Carnarvon,AU,-24.8667,113.6333,80.42,61,89,10.96,overcast clouds
193,Luanda,AO,-8.8368,13.2343,76.23,79,100,10.74,overcast clouds
194,Kodiak,US,57.79,-152.4072,35.35,98,100,38.56,moderate rain
195,Fayaoue,NC,-20.65,166.5333,81.46,75,8,9.24,clear sky
196,Norman Wells,CA,65.282,-126.8329,-9.85,90,100,4.72,overcast clouds
197,Biak,ID,-0.9131,122.8766,76.6,79,92,1.68,overcast clouds
198,Maykor,RU,59.0059,55.88,21.09,95,100,10.49,light snow
199,Bambous Virieux,MU,-20.3428,57.7575,75.22,74,100,8.99,overcast clouds
200,Ponta Delgada,PT,37.7333,-25.6667,63.32,72,40,18.41,scattered clouds
201,Maceio,BR,-9.6658,-35.7353,81.84,74,0,11.5,clear sky
202,Emerald,AU,-23.5333,148.1667,68.34,71,100,10.02,overcast clouds
203,Roma,US,43.2128,-75.4557,37.09,91,100,12.66,snow
204,Portland,US,45.5234,-122.6762,28.44,47,100,18.01,overcast clouds
205,Bataipora,BR,-22.2953,-53.2711,86.2,36,45,9.37,scattered clouds
206,Mankono,CI,8.0586,-6.1897,76.5,22,100,2.08,overcast clouds
